nombre,cuenta,username,followers,engagementRate
Leo Messi,https://www.instagram.com/leomessi,leomessi,"132,355,058",3.60%
Paulo Dybala,https://www.instagram.com/paulodybala,paulodybala,"32,071,949",5.80%
TINI,https://www.instagram.com/tinitastoessel,tinitastoessel,"10,437,366",5.10%
Karol Sevilla🌻,https://www.instagram.com/karolsevillaofc,karolsevillaofc,"9,570,112",4.30%
AntoRoccuzzo88,https://www.instagram.com/antoroccuzzo88,antoroccuzzo88,"9,159,505",9.70%
Ángel Di María,https://www.instagram.com/angeldimariajm,angeldimariajm,"9,034,082",1.90%
Marcelo Tinelli,https://www.instagram.com/marcelotinelli,marcelotinelli,"6,801,667",0.80%
LALI,https://www.instagram.com/laliespositoo,laliespositoo,"6,538,772",2.30%
Valentina Zenere,https://www.instagram.com/valentinazenere,valentinazenere,"6,256,686",4.20%
Jimena Baron,https://www.instagram.com/baronjimena,baronjimena,"6,056,545",3.20%
Marley,https://www.instagram.com/marley_ok,marley_ok,"5,690,147",2.20%
Wanda nara,https://www.instagram.com/wanda_icardi,wanda_icardi,"5,632,577",0.90%
Mauro Icardi - MI9,https://www.instagram.com/mauroicardi,mauroicardi,"5,580,787",2%
Solci Perez  #lachicadelclima,https://www.instagram.com/lasobrideperez,lasobrideperez,"4,651,939",4.20%
Flor Vigna,https://www.instagram.com/florivigna,florivigna,"4,624,696",4%
Cande Molfese,https://www.instagram.com/candemolfese,candemolfese,"4,430,773",1.50%
Pampita,https://www.instagram.com/pampitaoficial,pampitaoficial,"4,370,681",2.20%
Cinthia Fernandez,https://www.instagram.com/cinthia_fernandez_,cinthia_fernandez_,"4,221,060",1.20%
Laurita Fernández,https://www.instagram.com/holasoylaurita,holasoylaurita,"3,958,289",1.10%
Lelé,https://www.instagram.com/candelariatinelli,candelariatinelli,"3,855,806",2%
MirkoWiebe,https://www.instagram.com/mirko_ok,mirko_ok,"3,701,322",3.90%
El Kilombo 🇦🇷,https://www.instagram.com/el_kilombo,el_kilombo,"3,613,762",2%
China Suarez �,https://www.instagram.com/sangrejaponesa,sangrejaponesa,"3,549,733",0.70%
Oriana Sabatini,https://www.instagram.com/orianasabatini,orianasabatini,"3,547,487",5.70%
Florencia Peña,https://www.instagram.com/flor_de_p,flor_de_p,"3,487,681",1.80%
ZAIRA,https://www.instagram.com/zaira.nara,zaira.nara,"3,336,822",0.70%
Luisana Lopilato,https://www.instagram.com/luisanalopilato,luisanalopilato,"3,329,471",2%
Ezequiel Lavezzi,https://www.instagram.com/pocho22lavezzi,pocho22lavezzi,"3,314,217",1%
Julián Serrano,https://www.instagram.com/julianserrano01,julianserrano01,"3,306,741",3.30%
Gimena Accardi,https://www.instagram.com/gimeaccardi,gimeaccardi,"3,263,920",3.10%
Paula,https://www.instagram.com/chavespauok,chavespauok,"3,251,093",1.20%
Lizy Tagliani,https://www.instagram.com/lizytagliani,lizytagliani,"3,202,651",0.60%
Ana Jara,https://www.instagram.com/anajaramartinezok,anajaramartinezok,"3,186,039",2.40%
Malena Ratner,https://www.instagram.com/malenaratner,malenaratner,"3,168,215",1.30%
kevsho 🚀,https://www.instagram.com/kevsho9,kevsho9,"3,133,843",7.20%
cartonero,https://www.instagram.com/flanchota,flanchota,"3,102,529",4.50%
El Viejo Garca,https://www.instagram.com/elviejo_garca,elviejo_garca,"3,051,142",1.70%
Nicolas Vazquez 🇦🇷,https://www.instagram.com/nicovazquezok,nicovazquezok,"3,023,795",1.30%
Me Lo Dijo Un Forro 🖕🏼,https://www.instagram.com/unforro_oficial,unforro_oficial,"3,000,516",1.30%
AGUANTA!,https://www.instagram.com/aguantaok,aguantaok,"2,991,127",0.90%
Agustin Casanova,https://www.instagram.com/agustincasanova_,agustincasanova_,"2,781,089",3.40%
Katja Martinez,https://www.instagram.com/katumartinez,katumartinez,"2,760,529",2.10%
ᴀɴɢᴇʟᴀ 🦋,https://www.instagram.com/angelitatorresok,angelitatorresok,"2,742,970",3.50%
eltrece,https://www.instagram.com/eltrecetv,eltrecetv,"2,626,628",0%
Barbie Pucheta #BARVELEZ,https://www.instagram.com/barbiepucheta,barbiepucheta,"2,487,707",1.60%
Mica Suarez,https://www.instagram.com/micasuarez12,micasuarez12,"2,459,267",13.40%
Juana,https://www.instagram.com/juanittinelli1,juanittinelli1,"2,387,922",14%
Natalie Perez,https://www.instagram.com/untedetiloporfavor,untedetiloporfavor,"2,376,844",2.60%
🎬 Eva De Dominici,https://www.instagram.com/dedominicieva,dedominicieva,"2,358,435",3.50%
¡Nos gusta que seas parte!,https://www.instagram.com/capturebizarre,capturebizarre,"2,326,220",2.80%
Marcela Kloosterboer,https://www.instagram.com/m.klooster,m.klooster,"2,300,385",1.60%
Sofi Morandi 🎭,https://www.instagram.com/sofimorandi,sofimorandi,"2,300,236",8.70%
Lourdes Sanchez,https://www.instagram.com/lourdesanchezok,lourdesanchezok,"2,283,689",1.60%
Mariano,https://www.instagram.com/marianom78,marianom78,"2,204,131",0.80%
Maria del Cerro,https://www.instagram.com/merydelcerrok,merydelcerrok,"2,194,804",2%
ᎫUℒℐℰᏆᎯ 🔺,https://www.instagram.com/julietanaircalvo,julietanaircalvo,"2,177,081",3.90%
